,3.0,25,3,0
3827,3.0,60,56,0
4009,3.0,60,55,1
3677,3.0,60,46,0
22373,3.0,73,73,38
2092,3.0,50,50,17
25810,3.0,44,45,11
6478,3.0,80,52,0
19561,4.0,1,1,0
10987,4.0,11,8,0
5252,2.0,20,16,0
17350,4.0,1,1,0
11135,4.0,1,1,0
8391,3.0,51,44,0
23040,3.0,65,65,17
3112,0.0,180,150,0
27424,3.0,67,67,6
16439,4.0,17,14,0
12019,4.0,1,1,0
28553,3.0,65,65,22
31546,3.0,75,75,4
8316,3.0,51,44,0
7647,3.0,46,43,0
23146,3.0,135,135,62
23126,3.0,70,70,43
12763,4.0,1,1,0
6358,3.0,80,52,0
5344,2.0,20,15,0
24234,3.0,59,59,46
2820,0.0,180,150,0
12437,4.0,1,1,0
6349,3.0,80,52,0
31770,3.0,75,69,4
7804,3.0,46,43,0
3574,0.0,180,152,0
2352,3.0,25,25,10
2251,3.0,50,50,15
904,3.0,50,50,14
21976,3.0,140,140,47
29470,3.0,60,60,17
1347,3.0,25,25,12
13938,4.0,12,10,0
9956,4.0,11,9,0
11514,4.0,12,12,0
26838,3.0,40,40,6
23115,3.0,65,65,18
23576,3.0,74,74,16
14474,4.0,11,8,0
30135,3.0,60,60,19
988,3.0,50,50,14
6545,3.0,80,53,0
1630,3.0,50,50,17
22155,3.0,67,67,14
13906,4.0,2,2,0
18223,4.0,1,1,0
3970,3.0,60,56,0
12859,4.0,6,6,0
13886,4.0,18,18,0
8387,3.0,51,44,0
2479,3.0,50,48,6
12238,4.0,17,15,0
6846,3.0,80,52,0
30101,3.0,60,60,19
4323,3.0,50,50,2
18823,4.0,2,2,0
21912,3.0,67,67,13
31653,3.0,75,71,3
27693,3.0,67,67,11
4512,2.0,20,15,0
19428,4.0,2,2,0
18453,4.0,17,15,0
19177,4.0,18,18,0
22517,3.0,70,70,44
26754,3.0,40,40,14
27507,3.0,67,67,8
15818,4.0,6,6,0
28135,3.0,65,65,21
7101,3.0,80,53,0
23121,3.0,65,65,18
3001,0.0,180,150,0
1258,3.0,50,50,18
4361,3.0,50,49,0
4874,2.0,20,14,0
19874,4.0,12,12,0
17917,4.0,11,8,0
14220,4.0,12,12,0
2365,3.0,50,50,11
7373,3.0,46,43,0
849,3.0,25,25,8
19296,4.0,2,2,0
12875,4.0,17,14,0
21991,3.0,140,140,47
9761,4.0,11,9,0
1295,3.0,25,25,3
16134,4.0,12,12,0
27242,3.0,67,67,6
27654,3.0,67,67,11
5768,3.0,80,49,0
18011,4.0,18,18,0
29204,3.0,60,60,9
24610,3.0,55,55,59
31355,3.0,75,75,4
28717,3.0,65,59,2
26080,3.0,40,40,22
27351,3.0,67,67,6
16941,4.0,12,10,0
8551,3.0,55,43,0
22036,3.0,140,140,48
21597,3.0,67,67,11
28614,3.0,65,65,21
18165,4.0,18,18,0
4919,2.0,20,13,0
6141,3.0,80,51,0
13193,4.0,18,18,0
25391,3.0,45,45,1
15096,4.0,18,18,0
8086,3.0,51,44,0
3834,3.0,60,56,0
12512,4.0,17,14,0
9409,4.0,11,9,0
8133,3.0,51,44,0
9913,4.0,11,9,0
27271,3.0,67,67,6
16315,4.0,2,2,0
1948,3.0,50,50,17
19570,4.0,12,10,0
10789,4.0,11,8,0
27270,3.0,67,67,6
4285,3.0,50,50,4
27536,3.0,67,67,9
22908,3.0,65,65,16
17043,4.0,18,18,0
7157,3.0,80,51,0
32237,3.0,65,64,4
1799,3.0,25,25,5
14714,4.0,1,1,0
3579,0.0,180,152,0
5565,3.0,80,49,0
13600,4.0,18,18,0
3245,0.0,180,151,0
7050,3.0,80,52,0
31205,3.0,75,75,3
15475,4.0,11,8,0
12114,4.0,1,1,0
25830,3.0,44,44,13
15640,4.0,11,8,0
1208,3.0,25,25,4
13409,4.0,6,6,0
24258,3.0,59,59,46
26135,3.0,40,40,21
2498,3.0,25,23,1
25473,3.0,45,45,1
23811,3.0,74,74,24
3105,0.0,180,150,0
2132,3.0,25,24,5
18394,4.0,2,2,0
17202,4.0,11,8,0
475,3.0,50,50,13
26242,3.0,40,40,15
28311,3.0,65,65,20
28094,3.0,65,65,19
9179,4.0,11,9,0
13394,4.0,1,1,0
12752,4.0,1,1,0
13520,4.0,12,10,0
6082,3.0,80,51,0
29007,3.0,60,60,9
15047,4.0,9,9,0
15022,4.0,1,1,0
1510,3.0,50,50,17
27066,3.0,67,66,2
23327,3.0,74,73,6
23194,3.0,125,124,21
21371,3.0,73,73,30
12694,4.0,6,6,0
23789,3.0,74,74,23
14184,4.0,17,14,0
26649,3.0,40,40,15
13137,4.0,1,1,0
29821,3.0,60,60,20
9482,4.0,11,9,0
625,3.0,50,50,12
18391,4.0,9,9,0
1399,3.0,50,50,15
29085,3.0,60,60,9
61,3.0,50,0,0
24584,3.0,55,55,59
19989,4.0,2,2,0
11524,4.0,1,1,0
881,3.0,25,25,5
27345,3.0,67,67,6
28065,3.0,65,65,20
26376,3.0,40,40,14
3227,0.0,180,151,0
26245,3.0,40,40,18
30966,3.0,80,75,2
23636,3.0,74,74,19
14818,4.0,12,10,0
15651,4.0,11,8,0
22025,3.0,73,73,35
17605,4.0,17,14,0
29376,3.0,60,60,14
20287,4.0,1,1,0
8312,3.0,51,44,0
1632,3.0,25,25,13
25902,3.0,40,39,20
29825,3.0,60,60,20
10057,4.0,11,9,0
8744,3.0,55,43,0
31089,3.0,80,74,3
6449,3.0,80,52,0
30821,3.0,80,74,2
30632,3.0,80,74,2
19377,4.0,17,15,0
8102,3.0,51,44,0
19135,4.0,17,15,0
8270,3.0,51,44,0
10605,4.0,11,9,0
214,3.0,50,47,8
23243,3.0,70,70,44
8897,3.0,55,43,0
8488,3.0,55,44,0
1825,3.0,50,50,18
31147,3.0,75,75,3
4697,2.0,20,14,0
25458,3.0,45,45,1
